connected to mqtt://192.168.0.153:1883  (read-only scan)

--- 0x0000..0x07FF   explicit range
  0x0488..0x048F  8 answered  0.5s
  0x0490..0x0497  8 answered  0.5s
  0x0498..0x049F  8 answered  0.5s
  0x04A0..0x04A7  8 answered  0.5s
  0x04A8..0x04AF  8 answered  0.5s
  0x04B0..0x04B7  8 answered  0.5s
  0x04B8..0x04BF  8 answered  0.5s
  0x04C0..0x04C7  8 answered  0.5s
  0x04C8..0x04CF  8 answered  0.5s
  0x04D0..0x04D7  8 answered  0.5s
  0x04D8..0x04DF  8 answered  0.5s
  0x04E0..0x04E7  8 answered  0.5s
  0x04E8..0x04EF  8 answered  0.5s
  0x04F0..0x04F7  8 answered  0.5s
  0x04F8..0x04FF  8 answered  0.5s
  0x0500..0x0507  8 answered  0.5s
  0x0508..0x050F  8 answered  0.5s
  0x0510..0x0517  8 answered  0.5s
  0x0518..0x051F  8 answered  0.5s
  0x0520..0x0527  8 answered  0.5s
  0x0528..0x052F  8 answered  0.5s
  0x0530..0x0537  8 answered  0.5s
  0x0538..0x053F  8 answered  0.5s
  0x0540..0x0547  8 answered  0.5s
  0x0548..0x054F  8 answered  0.5s
  0x0550..0x0557  8 answered  0.5s
  0x0558..0x055F  8 answered  0.5s
  0x0560..0x0567  8 answered  0.5s
  0x0568..0x056F  8 answered  0.5s
  0x0570..0x0577  8 answered  0.5s
  0x0578..0x057F  8 answered  0.5s
  0x0580..0x0587  8 answered  0.5s
  0x0588..0x058F  8 answered  0.5s
  0x0590..0x0597  8 answered  0.5s
  0x0598..0x059F  8 answered  0.5s
  0x05A0..0x05A7  8 answered  0.5s
  0x05A8..0x05AF  8 answered  0.5s
  0x05B0..0x05B7  8 answered  0.5s
  0x05B8..0x05BF  8 answered  0.5s
  0x05C0..0x05C7  8 answered  0.5s
  0x05C8..0x05CF  8 answered  0.5s
  0x05D0..0x05D7  8 answered  0.5s
  0x05D8..0x05DF  8 answered  0.5s
  0x05E0..0x05E7  8 answered  0.5s
  0x05E8..0x05EF  8 answered  0.5s
  0x05F0..0x05F7  8 answered  0.5s
  0x05F8..0x05FF  8 answered  0.5s
  0x0600..0x0607  8 answered  0.5s
  0x0608..0x060F  8 answered  0.5s
  0x0610..0x0617  8 answered  0.5s
  0x0618..0x061F  8 answered  0.5s
  0x0620..0x0627  8 answered  0.5s
  0x0628..0x062F  8 answered  0.5s
  0x0630..0x0637  8 answered  0.5s
  0x0638..0x063F  8 answered  0.5s
  0x0640..0x0647  8 answered  0.5s
  0x0648..0x064F  8 answered  0.5s
  0x0650..0x0657  8 answered  0.5s
  0x0658..0x065F  8 answered  0.5s
  0x0660..0x0667  8 answered  0.5s
  0x0668..0x066F  8 answered  0.5s
  0x0670..0x0677  8 answered  0.5s
  0x0678..0x067F  8 answered  0.5s
  0x0680..0x0687  8 answered  0.5s
  0x0688..0x068F  8 answered  0.5s
  0x0690..0x0697  8 answered  0.5s
  0x0698..0x069F  8 answered  0.5s
  0x06A0..0x06A7  8 answered  0.5s
  0x06A8..0x06AF  8 answered  0.5s
  0x06B0..0x06B7  8 answered  0.5s
  0x06B8..0x06BF  8 answered  0.5s
  0x06C0..0x06C7  8 answered  0.5s
  0x06C8..0x06CF  8 answered  0.5s
  0x06D0..0x06D7  8 answered  0.5s
  0x06D8..0x06DF  8 answered  0.5s
  0x06E0..0x06E7  8 answered  0.5s
  0x06E8..0x06EF  8 answered  0.5s
  0x06F0..0x06F7  8 answered  0.5s
  0x06F8..0x06FF  8 answered  0.5s
  0x0700..0x0707  8 answered  0.5s
  0x0708..0x070F  8 answered  0.5s
  0x0710..0x0717  8 answered  0.5s
  0x0718..0x071F  8 answered  0.5s
  0x0720..0x0727  8 answered  0.5s
  0x0728..0x072F  8 answered  0.5s
  0x0730..0x0737  8 answered  0.5s
  0x0738..0x073F  8 answered  0.5s
  0x0740..0x0747  8 answered  0.5s
  0x0748..0x074F  8 answered  0.5s
  0x0750..0x0757  8 answered  0.5s
  0x0758..0x075F  8 answered  0.5s
  0x0760..0x0767  8 answered  0.5s
  0x0768..0x076F  8 answered  0.5s
  0x0770..0x0777  8 answered  0.5s
  0x0778..0x077F  8 answered  0.5s
  0x0780..0x0787  8 answered  0.5s
  0x0788..0x078F  8 answered  0.5s
  0x0790..0x0797  8 answered  0.5s
  0x0798..0x079F  8 answered  0.5s
  0x07A0..0x07A7  8 answered  0.6s
  0x07A8..0x07AF  8 answered  0.5s
  0x07B0..0x07B7  8 answered  0.5s
  0x07B8..0x07BF  8 answered  0.5s
  0x07C0..0x07C7  8 answered  0.5s
  0x07C8..0x07CF  8 answered  0.5s
  0x07D0..0x07D7  8 answered  0.5s
  0x07D8..0x07DF  8 answered  0.5s
  0x07E0..0x07E7  8 answered  0.5s
  0x07E8..0x07EF  8 answered  0.5s
  0x07F0..0x07F7  8 answered  0.5s
  0x07F8..0x07FF  8 answered  0.5s

=== registers that answered ===
  0x0000 =    245   signed    245   <-- non-zero
  0x0001 =    249   signed    249   <-- non-zero
  0x0002 =      0   signed      0
  0x0003 =     84   signed     84   <-- non-zero
  0x0004 =     45   signed     45   <-- non-zero
  0x0005 =    152   signed    152   <-- non-zero
  0x0006 =    145   signed    145   <-- non-zero
  0x0007 =      0   signed      0
  0x0008 =      0   signed      0
  0x0009 =   1543   signed   1543   <-- non-zero
  0x000A =      0   signed      0
  0x000B =      9   signed      9   <-- non-zero
  0x000C =   3565   signed   3565   <-- non-zero
  0x000D =   2253   signed   2253   <-- non-zero
  0x000E =      0   signed      0
  0x000F =      0   signed      0
  0x0010 =  16320   signed  16320   <-- non-zero
  0x0011 =  33554   signed -31982   <-- non-zero
  0x0012 =   1651   signed   1651   <-- non-zero
  0x0013 =   1644   signed   1644   <-- non-zero
  0x0014 =    249   signed    249   <-- non-zero
  0x0015 =    250   signed    250   <-- non-zero
  0x0016 =      0   signed      0
  0x0017 =      0   signed      0
  0x0018 =      0   signed      0
  0x0019 =      0   signed      0
  0x001A =      0   signed      0
  0x001B =      0   signed      0
  0x001C =      0   signed      0
  0x001D =   3565   signed   3565   <-- non-zero
  0x001E =   3565   signed   3565   <-- non-zero
  0x001F =      0   signed      0
  0x0020 =      0   signed      0
  0x0021 =      0   signed      0
  0x0022 =      0   signed      0
  0x0023 =     55   signed     55   <-- non-zero
  0x0024 =     50   signed     50   <-- non-zero
  0x0025 =  16281   signed  16281   <-- non-zero
